category,subcategory,question,answer,reasoning,source
Arithmetic,conversion,"Was ist 1,946047l in Millilitern?",1946.047,,Mathematics Dataset (Google DeepMind)
Arithmetic,conversion,"Was sind 0,929527 Jahrhunderte in Jahrtausenden?",0.0929527,,Mathematics Dataset (Google DeepMind)
Arithmetic,conversion,Wie viele Milliliter sind in einem Zwanzigstel Liter enthalten?,50.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,conversion,Was ist ein Zehntel eines Milligramms in Nanogramm?,100000.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,conversion,Was ist 2/125 eines Meters in Millimetern?,16.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,time,Wie viele Minuten liegen zwischen 14:12 Uhr und 15:43 Uhr?,91.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,time,Wie viele Minuten liegen zwischen 22:12 Uhr und 5:36 Uhr?,444.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,time,Wie viele Minuten liegen zwischen 12:25 Uhr und 7:35 Uhr?,430.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,time,Wie viele Minuten liegen zwischen 11:23 Uhr und 12:03 Uhr?,40.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,time,Wie viele Minuten liegen zwischen 12:40 Uhr und 3:18 Uhr?,158.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,time,Wie viele Minuten liegen zwischen 17:28 Uhr und 18:20 Uhr?,52.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,time,Wie viele Minuten liegen zwischen 23:16 Uhr und 10:18 Uhr?,662.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div_remainder,"Was ist der Rest, wenn 50 durch 18 geteilt wird?",14.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div_remainder,"Was ist der Rest, wenn 956 durch 287 geteilt wird?",95.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div_remainder,"Was ist der Rest, wenn 2198 durch 44 geteilt wird?",42.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div_remainder,"Berechne den Rest, der sich ergibt, wenn 1903 durch 212 geteilt wird.",207.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div_remainder,"Berechne den Rest, der sich ergibt, wenn 12707 durch 71 geteilt wird.",69.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div_remainder,"Was ist der Rest, wenn 129 durch 61 geteilt wird?",7.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div_remainder,"Berechnen Sie den Rest, wenn 147 durch 23 geteilt wird.",9.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,gcd,Was ist der höchste gemeinsame Faktor von 800 und 350?,50.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,gcd,Berechne den höchsten gemeinsamen Faktor von 21342 und 12.,6.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,gcd,Was ist der größte gemeinsame Faktor von 48 und 1520?,16.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,gcd,Berechne den größten gemeinsamen Teiler von 1155 und 616.,77.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,gcd,Was ist der höchste gemeinsame Faktor von 32 und 55?,1.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,gcd,Was ist der größte gemeinsame Faktor von 5037 und 69?,69.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,gcd,Berechnen Sie den größten gemeinsamen Teiler von 44 und 154.,22.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,lcm,Berechne das kleinste gemeinsame Vielfache von 24498 und 8.,97992.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,lcm,Berechne den gemeinsamen Nenner von 115/582 und -4/11.,6402.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,lcm,Was ist das kleinste gemeinsame Vielfache von 6728 und 40?,33640.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,lcm,Berechnen Sie das kleinste gemeinsame Vielfache von 4 und 460.,460.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,lcm,Was ist der gemeinsame Nenner von -59/120 und -29/24?,120.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,lcm,Was ist der gemeinsame Nenner von -93/58 und -5/58?,58.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,lcm,Berechnen Sie das kleinste gemeinsame Vielfache von 286 und 364.,4004.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,place_value,Was ist die Einerstelle von 8196?,6.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,place_value,Was ist die Zehnerstelle von 3848?,4.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,place_value,Was ist die Hunderterstelle von 2079?,0.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,place_value,Was ist die Zehnerstelle von 1599?,9.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,place_value,Was ist die Hunderterstelle von 9001?,0.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,place_value,Was ist die Hunderterstelle von 30741?,7.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,place_value,Was ist die Einerstelle von 72672?,2.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,round_number,Runden Sie -147720 auf die nächste Tausenderstelle.,-148000.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,round_number,"Was ist 0,57208 gerundet auf 1 dp?",0.6000000000000001,,Mathematics Dataset (Google DeepMind)
Arithmetic,round_number,"Was sind 0,00117, gerundet auf vier dps?",0.0012,,Mathematics Dataset (Google DeepMind)
Arithmetic,round_number,"Runden Sie 13,5 auf die nächste 10.",10.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,round_number,"Runden Sie 4117,6 auf die nächste 10.",4120.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,round_number,"Was ist -892,7, gerundet auf die nächsten 10?",-890.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,round_number,"Was ist -491,93, gerundet auf 0 dps?",-492.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,conversion,"80319,95 Kilogramm in Mikrogramm umrechnen.",80319950000000.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,lcm,Berechnen Sie das kleinste gemeinsame Vielfache von 7272 und 909.,7272.0,,Mathematics Dataset (Google DeepMind)
